      3 Adjust
      2 Amplitude
      1 Appcelerator Analytics
      5 AppsFlyer
      2 Branch
      1 Braze (formerly Appboy)
      1 Countly
      2 Facebook Ads
      6 Facebook Analytics
      9 Facebook Login
      5 Facebook Places
      7 Facebook Share
      2 Flurry
     36 Google AdMob
     15 Google Analytics
     27 Google CrashLytics
     42 Google Firebase Analytics
      9 Google Tag Manager
      4 Microsoft Appcenter Analytics
      5 Microsoft Appcenter Crashes
      8 MixPanel
      1 New Relic
      3 OneSignal
      1 Optimizely
      1 Pusher
      1 Segment
      1 Tealium
      1 Wootric
